CFI = 2.32619 Paras = ['0.68816686', '2.63275361', '4.73513317', '2.63275361', '0.22620231', '2.86869717']
CFI = 2.32619 Paras = ['0.68816346', '2.64267802', '4.74505520', '2.64267778', '0.22620243', '2.86868978']
CFI = 2.32619 Paras = ['0.68816686', '2.65270829', '4.75508595', '2.65270805', '0.22620058', '2.86869717']
CFI = 2.32619 Paras = ['0.68816364', '2.66263032', '4.76500654', '2.66263032', '0.22620267', '2.86869025']
CFI = 2.32619 Paras = ['0.68816686', '2.67267680', '4.77505398', '2.67267704', '0.22620362', '2.86869717']
CFI = 2.32619 Paras = ['0.68816400', '2.68274999', '4.78512907', '2.68275023', '0.22620273', '2.86869121']
CFI = 2.32619 Paras = ['0.68816680', '2.69268894', '4.79506683', '2.69268894', '0.22620256', '2.86869693']
CFI = 2.32619 Paras = ['0.68816364', '2.70275044', '4.80513000', '2.70275044', '0.22620253', '2.86869025']
CFI = 2.32619 Paras = ['0.68816644', '2.71275353', '4.81513262', '2.71275353', '0.22620250', '2.86869621']
CFI = 2.32619 Paras = ['0.68816364', '2.72268677', '4.82506466', '2.72268677', '0.22620215', '2.86869001']
CFI = 2.32619 Paras = ['0.68816674', '2.73275065', '4.83512926', '2.73275065', '0.22620150', '2.86869669']
CFI = 2.32619 Paras = ['0.68816346', '2.74273825', '4.84511709', '2.74273801', '0.22620161', '2.86869001']
CFI = 2.32619 Paras = ['0.68816692', '2.75275326', '4.85513258', '2.75275326', '0.22620234', '2.86869717']
CFI = 2.32619 Paras = ['0.68816352', '2.76275349', '4.86513329', '2.76275349', '0.22620125', '2.86868954']
CFI = 2.32619 Paras = ['0.68816686', '2.77270079', '4.87507915', '2.77270079', '0.22620136', '2.86869669']
CFI = 2.32619 Paras = ['0.68816394', '2.78271794', '4.88509655', '2.78271794', '0.22619936', '2.86869049']
CFI = 2.32619 Paras = ['0.68816680', '2.79262066', '4.89499664', '2.79262090', '0.22620445', '2.86869717']
CFI = 2.32619 Paras = ['0.68816465', '2.80274773', '4.90512609', '2.80274796', '0.22620194', '2.86869240']
CFI = 2.32619 Paras = ['0.68816644', '2.81272268', '4.91510153', '2.81272268', '0.22620001', '2.86869597']
CFI = 2.32619 Paras = ['0.68816376', '2.82275248', '4.92513180', '2.82275248', '0.22620057', '2.86869049']
CFI = 2.32619 Paras = ['0.68816668', '2.83275175', '4.93513155', '2.83275175', '0.22620086', '2.86869669']
CFI = 2.32619 Paras = ['0.68816346', '2.84275389', '4.94513321', '2.84275413', '0.22620162', '2.86869001']
CFI = 2.32619 Paras = ['0.68816698', '2.85270667', '4.95508432', '2.85270667', '0.22620235', '2.86869740']
CFI = 2.32619 Paras = ['0.68816364', '2.86269808', '4.96507597', '2.86269808', '0.22620383', '2.86869025']
CFI = 2.32619 Paras = ['0.68816686', '2.87266350', '4.97504044', '2.87266350', '0.22620103', '2.86869693']
CFI = 2.32619 Paras = ['0.68816376', '2.88274741', '4.98512650', '2.88274741', '0.22620121', '2.86869049']
CFI = 2.32619 Paras = ['0.68816650', '2.89274335', '4.99512243', '2.89274335', '0.22620343', '2.86869621']
CFI = 2.32619 Paras = ['0.68816364', '2.90273809', '5.00511742', '2.90273809', '0.22620143', '2.86869001']
CFI = 2.32619 Paras = ['0.68816698', '2.91262865', '5.01500463', '2.91262889', '0.22620326', '2.86869740']
CFI = 2.32619 Paras = ['0.68816364', '2.92266250', '5.02503920', '2.92266273', '0.22620238', '2.86869001']
CFI = 2.32619 Paras = ['0.68816686', '2.93274975', '5.03512859', '2.93274975', '0.22620241', '2.86869693']
CFI = 2.32619 Paras = ['0.68816358', '2.94266009', '5.04503727', '2.94266033', '0.22620068', '2.86869001']
